epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1062,2.58943,4.50453,2.17233,0.0007,0.04545,0.00037,0.00011,2.27127,4.79682,2.26884,5.001e-05,5.001e-05,5.001e-05
2,21.9536,2.71568,4.7174,2.15793,0.00318,0.22727,0.00195,0.00091,2.04119,4.6536,2.0071,0.000112839,0.000112839,0.000112839
3,30.8168,2.54014,4.30659,2.06053,0.00246,0.18182,0.00146,0.00097,1.91511,4.58303,1.86098,0.000171268,0.000171268,0.000171268
4,39.9586,2.32547,4.31932,1.97605,0.00181,0.13636,0.00103,0.00075,1.80921,4.47957,1.7905,0.000225295,0.000225295,0.000225295
5,49.2303,2.18679,3.57951,1.8298,0.0066,0.5,0.00659,0.00297,1.79905,4.40853,1.79652,0.000274922,0.000274922,0.000274922
6,58.9211,2.06991,3.38285,1.68008,0.00714,0.54545,0.00974,0.00406,1.81605,4.31948,1.78093,0.000320147,0.000320147,0.000320147
7,68.7448,2.1704,3.1236,1.67039,0.00655,0.5,0.03165,0.02188,1.81329,4.14979,1.70461,0.000360972,0.000360972,0.000360972
8,78.4738,2.06196,3.14194,1.54531,0.00876,0.68182,0.0555,0.03554,1.76343,4.09607,1.66269,0.000397396,0.000397396,0.000397396
9,88.0599,2.05785,3.41713,1.552,0.00713,0.54545,0.08301,0.04343,1.71783,4.02173,1.57292,0.000429419,0.000429419,0.000429419
10,98.7005,2.00603,2.71957,1.48961,0.00594,0.45455,0.10188,0.04388,1.74714,3.98116,1.54744,0.000457041,0.000457041,0.000457041
11,109.362,2.02648,3.18219,1.48407,0.00294,0.22727,0.0571,0.04084,1.7238,3.95315,1.48808,0.000480263,0.000480263,0.000480263
12,119.607,1.98512,2.90115,1.49763,0.00355,0.27273,0.0541,0.03912,1.63228,3.89425,1.38924,0.000499083,0.000499083,0.000499083
13,128.63,2.03998,2.8396,1.55863,0.00534,0.40909,0.14812,0.10692,1.62905,3.78164,1.38852,0.000513503,0.000513503,0.000513503
14,138.202,1.77627,3.42414,1.47723,0.00668,0.5,0.15315,0.1009,1.65967,3.69554,1.41067,0.000523521,0.000523521,0.000523521
15,147.988,1.97363,2.55404,1.49382,0.00743,0.54545,0.11317,0.07354,1.61288,3.65226,1.38142,0.000529139,0.000529139,0.000529139
16,157.518,1.73855,2.24716,1.35335,0.00743,0.54545,0.11317,0.07354,1.61288,3.65226,1.38142,0.000530356,0.000530356,0.000530356
17,165.398,1.92189,2.39102,1.51766,0.00795,0.59091,0.27605,0.17018,1.62918,3.55769,1.36893,0.000527172,0.000527172,0.000527172
18,173.103,1.73456,2.37259,1.48588,1,0.23981,0.4584,0.22101,1.78731,3.46142,1.43427,0.000519587,0.000519587,0.000519587
19,180.677,1.85935,2.44711,1.49984,1,0.23981,0.4584,0.22101,1.78731,3.46142,1.43427,0.000507602,0.000507602,0.000507602
20,189.129,1.92608,2.92803,1.59964,1,0.17951,0.52106,0.21515,1.86813,3.35296,1.46251,0.000491215,0.000491215,0.000491215
21,197.605,1.7142,2.76555,1.43298,0.72176,0.45455,0.54318,0.24964,1.81313,3.30626,1.43925,0.000470427,0.000470427,0.000470427
22,205.243,1.69316,2.29041,1.46018,0.72176,0.45455,0.54318,0.24964,1.81313,3.30626,1.43925,0.000445239,0.000445239,0.000445239
23,214.321,1.69919,2.49782,1.44242,0.00986,0.77273,0.57085,0.29271,1.67933,3.27438,1.48197,0.00041565,0.00041565,0.00041565
24,223.172,1.63724,2.259,1.40152,0.00986,0.77273,0.57085,0.29271,1.67933,3.27438,1.48197,0.00038166,0.00038166,0.00038166
25,231.155,1.61718,2.44556,1.37629,0.01128,0.81818,0.559,0.27033,1.70642,3.21541,1.5012,0.000343269,0.000343269,0.000343269
26,239.111,1.70995,2.36313,1.45053,0.01128,0.81818,0.559,0.27033,1.70642,3.21541,1.5012,0.000291725,0.000291725,0.000291725
27,246.946,1.69893,2.19813,1.42525,0.87066,0.30712,0.5478,0.27823,1.74623,2.93264,1.51104,0.000236714,0.000236714,0.000236714
28,254.798,1.67848,2.34613,1.38885,0.87066,0.30712,0.5478,0.27823,1.74623,2.93264,1.51104,0.000181703,0.000181703,0.000181703
29,263.699,1.52608,2.15441,1.26668,0.84385,0.49184,0.66961,0.32237,1.78689,2.64266,1.47353,0.000126692,0.000126692,0.000126692
30,272.754,1.54416,2.23454,1.37838,0.84385,0.49184,0.66961,0.32237,1.78689,2.64266,1.47353,7.1681e-05,7.1681e-05,7.1681e-05
